,Contrato,Situação
SUN VICTORY-12,41****01,pendente
SUN VICTORY-13,42****93,pendente
SUN VICTORY-14,42****72,pendente
SUN VICTORY-15,42****53,pendente
OTHON COPA-0,41****31,pendente
OTHON COPA-1,40****33,pendente
OTHON COPA-2,40****14,pendente
OTHON COPA-3,40****47,pendente
OTHON COPA-5,41****18,pendente
OTHON COPA-6,41****74,pendente
OTHON COPA-7,41****17,pendente
OTHON COPA-8,41****26,pendente
OTHON COPA-9,40****44,pendente
OTHON COPA-10,40****54,pendente
OTHON COPA-11,40****65,pendente
OTHON COPA-12,41****01,pendente
OTHON COPA-13,42****93,pendente
OTHON COPA-14,42****72,pendente
OTHON COPA-15,42****53,pendente
PLAZA BAHIA-0,41****41,pendente
PLAZA BAHIA-1,41****29,pendente
PLAZA BAHIA-2,41****76,pendente
PLAZA BAHIA-3,41****53,pendente
PLAZA BAHIA-4,40****44,pendente
PLAZA BAHIA-5,40****54,pendente
PLAZA BAHIA-6,40****65,pendente
OWN-0,41****41,pendente
OWN-1,41****29,pendente
OWN-2,41****76,pendente
OWN-3,41****53,pendente
OWN-4,42****38,pendente
OWN-5,42****93,pendente
OWN-6,42****06,pendente
OWN-7,42****19,pendente
OWN-8,20*****987,pendente
OWN-9,081********2103,pendente
PLAZA SÃO RAFAEL-0,41****41,pendente
PLAZA SÃO RAFAEL-1,41****29,pendente
PLAZA SÃO RAFAEL-2,41****76,pendente
PLAZA SÃO RAFAEL-3,41****53,pendente
PLAZA SÃO RAFAEL-4,42****38,pendente
PLAZA SÃO RAFAEL-5,42****93,pendente
PLAZA SÃO RAFAEL-6,42****06,pendente
PLAZA SÃO RAFAEL-7,42****19,pendente
PLAZA SÃO RAFAEL-8,20*****987,pendente
PLAZA SÃO RAFAEL-9,081********2103,pendente
PLAZA CAPIVARI-0,41****41,pendente
PLAZA CAPIVARI-1,41****29,pendente
PLAZA CAPIVARI-2,41****76,pendente
PLAZA CAPIVARI-3,41****53,pendente
PLAZA CAPIVARI-4,42****38,pendente
PLAZA CAPIVARI-5,42****93,pendente
PLAZA CAPIVARI-6,42****06,pendente
PLAZA CAPIVARI-7,42****19,pendente
PLAZA CAPIVARI-8,20*****987,pendente
PLAZA CAPIVARI-9,081********2103,pendente
PLAZA CALDAS-0,42****38,pendente
PLAZA CALDAS-1,42****93,pendente
PLAZA CALDAS-2,42****06,pendente
PLAZA CALDAS-3,42****19,pendente
PLAZA CALDAS-4,20*****987,pendente
PLAZA CALDAS-5,081********2103,pendente
SAVOY-0,42****38,pendente
SAVOY-1,42****93,pendente
SAVOY-2,42****06,pendente
SAVOY-3,42****19,pendente
SAVOY-4,20*****987,pendente
SAVOY-5,081********2103,pendente
SAVOY-6,42****90,pendente
SAVOY-7,42****10,pendente
SAVOY-8,42****47,pendente
SAVOY-9,42****71,pendente
SAVOY-10,42****14,pendente
SAVOY-11,42****35,pendente
SAVOY-12,42****73,pendente
SAVOY-13,41****18,pendente
SAVOY-14,41****74,pendente
SAVOY-15,41****17,pendente
SAVOY-16,41****26,pendente
SAVOY-17,41****31,pendente
SAVOY-18,40****33,pendente
SAVOY-19,40****14,pendente
SAVOY-20,40****47,pendente
NOVOTEL LEME-0,40****85,pendente
NOVOTEL LEME-1,40****65,pendente
NOVOTEL LEME-2,40****02,pendente
NOVOTEL LEME-3,40****14,pendente
NOVOTEL LEME-4,41****59,pendente
NOVOTEL LEME-5,41****61,pendente
NOVOTEL LEME-6,41****69,pendente
NOVOTEL LEME-7,41****16,pendente
AMÉRICAS BARRA-0,41****88,pendente
AMÉRICAS BARRA-1,41****45,pendente
AMÉRICAS BARRA-2,41****76,pendente
AMÉRICAS BARRA-3,41****41,pendente
PLAZA BH-0,40****12,pendente
PLAZA BH-1,061********0003,pendente
PLAZA BH-2,40****29,pendente
PLAZA BH-3,061********0105,pendente
PLAZA BH-4,40****58,pendente
AMERICAS COPA-0,41****55,pendente
AMERICAS COPA-1,41****90,pendente
AMERICAS COPA-2,41****30,pendente
AMERICAS COPA-3,41****97,pendente
AMERICAS COPA-4,42****32,pendente
AMERICAS COPA-5,42****13,pendente
AMERICAS COPA-7,42****89,pendente
AMERICAS COPA-8,42****42,pendente
GAIVOTA-0,42****32,pendente
GAIVOTA-1,42****13,pendente
GAIVOTA-3,42****89,pendente
GAIVOTA-4,42****42,pendente
GAIVOTA-5,41****55,pendente
GAIVOTA-6,41****16,pendente
GAIVOTA-7,41****92,pendente
GAIVOTA-8,41****24,pendente
B&B SP-0,42****32,pendente
B&B SP-1,42****13,pendente
B&B SP-3,42****89,pendente
B&B SP-4,42****42,pendente
B&B SP-5,41****55,pendente
B&B SP-6,41****16,pendente
B&B SP-7,41****92,pendente
B&B SP-8,41****24,pendente
B&B COPA-0,42****32,pendente
B&B COPA-1,42****13,pendente
B&B COPA-3,42****89,pendente
B&B COPA-4,42****42,pendente
B&B COPA-5,41****55,pendente
B&B COPA-6,41****16,pendente
B&B COPA-7,41****92,pendente
B&B COPA-8,41****24,pendente
BENIDORM-0,41****55,pendente
BENIDORM-1,41****16,pendente
BENIDORM-2,41****92,pendente
BENIDORM-3,41****24,pendente
BENIDORM-5,42****60,pendente
BENIDORM-7,42****09,pendente
BENIDORM-9,42****14,pendente
BENIDORM-10,42****38,pendente
BENIDORM-13,42****13,pendente
BENIDORM-14,42****45,pendente
BENIDORM-15,42****70,pendente
BENIDORM-16,42****17,pendente
BENIDORM-19,42****21,pendente
BENIDORM-20,42****72,pendente
MARRIOT-0,41****42,pendente
MARRIOT-2,41****83,pendente
MARRIOT-3,050*******3501,pendente
MARRIOT-4,41****34,pendente
MARRIOT-5,41****72,pendente
COPA SUL-0,41****53,pendente
COPA SUL-1,41****61,pendente
COPA SUL-2,41****00,pendente
COPA SUL-3,41****28,pendente
COPA SUL-4,41****78,pendente
COPA SUL-5,41****72,pendente
COPA SUL-6,41****25,pendente
COPA SUL-7,41****79,pendente
COPA SUL-8,41****21,pendente
COPA SUL-9,41****55,pendente
COPA SUL-10,41****96,pendente
COPA SUL-11,41****38,pendente
COPA SUL-12,41****51,pendente
COPA SUL-13,41****24,pendente
COPA SUL-14,41****19,pendente
COPA SUL-15,41****07,pendente
COPA SUL-16,39****13,pendente
COPA SUL-17,41****92,pendente
COPA SUL-18,39****04,pendente
COPA SUL-19,39****60,pendente
COPA SUL-20,42****32,pendente
COPA SUL-21,42****13,pendente
COPA SUL-23,42****89,pendente
COPA SUL-24,42****42,pendente
SHERATON RECIFE-0,40****85,pendente
SHERATON RECIFE-1,40****65,pendente
SHERATON RECIFE-2,40****02,pendente
SHERATON RECIFE-3,40****14,pendente
KLEINVILLE-0,41****52,pendente
KLEINVILLE-1,41****65,pendente
KLEINVILLE-2,41****75,pendente
KLEINVILLE-3,42****32,pendente
KLEINVILLE-4,42****13,pendente
KLEINVILLE-6,42****89,pendente
KLEINVILLE-7,42****42,pendente
REAL HOTEL-6,40****12,pendente
REAL HOTEL-7,061********0003,pendente
REAL HOTEL-8,40****29,pendente
REAL HOTEL-9,061********0105,pendente
REAL HOTEL-10,40****58,pendente
GRANADA-0,40****12,pendente
GRANADA-1,061********0003,pendente
GRANADA-2,40****29,pendente
GRANADA-3,061********0105,pendente
GRANADA-4,40****58,pendente
GRANADA-5,42****43,pendente
GRANADA-6,42****87,pendente
GRANADA-7,42****21,pendente
GRANADA-8,42****32,pendente
GRANADA-9,42****13,pendente
GRANADA-11,42****89,pendente
GRANADA-12,42****42,pendente
GRANADA-13,42****08,pendente
GRANADA-14,42****76,pendente
GRANADA-15,42****17,pendente
GRANADA-16,42****59,pendente
VERMONT-0,42****08,pendente
VERMONT-1,42****76,pendente
VERMONT-2,42****17,pendente
VERMONT-3,42****59,pendente
VERMONT-4,42****82,pendente
VERMONT-5,42****87,pendente
VERMONT-6,42****22,pendente
VERMONT-7,42****90,pendente
MENGO-0,41****46,pendente
MENGO-1,41****73,pendente
MENGO-2,41****50,pendente
MENGO-3,41****83,pendente
PEDRO-0,40****16,pendente
LANCASTER-0,42****85,pendente
LANCASTER-1,42****43,pendente
LANCASTER-2,42****74,pendente
LANCASTER-3,42****51,pendente
LANCASTER-4,42****82,pendente
LANCASTER-5,42****87,pendente
LANCASTER-6,42****22,pendente
LANCASTER-7,42****90,pendente
NOBILE JPG-0,42****82,pendente
NOBILE JPG-1,42****87,pendente
NOBILE JPG-2,42****22,pendente
NOBILE JPG-3,42****90,pendente
NOBILE JPG-4,41****92,pendente
NOBILE JPG-5,42****55,pendente
NOBILE JPG-6,41****86,pendente
WINDSOR CALIFORNIA-0,42****82,pendente
WINDSOR CALIFORNIA-1,42****87,pendente
WINDSOR CALIFORNIA-2,42****22,pendente
WINDSOR CALIFORNIA-3,42****90,pendente
WINDSOR CALIFORNIA-4,41****92,pendente
WINDSOR CALIFORNIA-5,42****55,pendente
WINDSOR CALIFORNIA-6,41****86,pendente
HOTEL REGINA-0,42****52,pendente
HOTEL REGINA-1,42****37,pendente
HOTEL REGINA-2,42****66,pendente
